event_id,user_id,session_id,event_type,timestamp,page_url,product_id,search_query,device_type,browser,ip_address,properties
1cf23569-9bd6-4b90-a28d-1d708846c4b3,caa900bf-2b39-4033-b14f-bcbbdd659c53,751f6a30-540a-4463-a37c-8aac2dca8b40,page_view,2025-06-17 03:04:42.606729,/home,,,desktop,firefox,183.189.193.184,{}
5fe47b73-8c2c-4afd-8588-3d18b1784295,caa900bf-2b39-4033-b14f-bcbbdd659c53,751f6a30-540a-4463-a37c-8aac2dca8b40,page_view,2025-06-17 03:11:42.606729,/products,,,tablet,safari,47.207.92.171,{}
73f2cfbc-b7ee-4a50-9649-7591c697c4c5,caa900bf-2b39-4033-b14f-bcbbdd659c53,751f6a30-540a-4463-a37c-8aac2dca8b40,logout,2025-06-17 03:01:42.606729,,,,mobile,firefox,133.35.17.239,{}
3d09b63d-ba8b-48b1-8b72-124496a343c7,e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,db797948-ac3a-4301-a290-f2170fb147db,login,2025-06-17 07:28:42.606729,,,,tablet,firefox,105.82.143.39,{}
9b82b51d-82f0-4341-bcea-eab6cdbd1b68,e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,db797948-ac3a-4301-a290-f2170fb147db,search,2025-06-17 07:14:42.606729,,,laptop,mobile,firefox,223.156.211.146,{'results_count': 16}
d0781555-f0dd-4192-8c35-e6d9bbc48ffc,e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,db797948-ac3a-4301-a290-f2170fb147db,search,2025-06-17 07:37:42.606729,,,book,desktop,safari,210.159.24.114,{'results_count': 49}
b2ae43a0-fc6e-464f-b482-3b2a8dac70bf,e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,db797948-ac3a-4301-a290-f2170fb147db,page_view,2025-06-17 07:17:42.606729,/contact,,,tablet,chrome,223.4.200.225,{}
f653bd78-dc20-4b0e-82ad-c87630ebfaa3,e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,db797948-ac3a-4301-a290-f2170fb147db,product_view,2025-06-17 07:22:42.606729,/product/1ed28d3a-decd-4998-99a1-75acbf4c8a82,1ed28d3a-decd-4998-99a1-75acbf4c8a82,,desktop,firefox,115.214.233.187,{}
263d0499-99cf-44f4-8c94-4495ac5d94bd,e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,db797948-ac3a-4301-a290-f2170fb147db,add_to_cart,2025-06-17 07:35:42.606729,/product/7c4c5103-7aa0-4008-bf49-51104c26f889,7c4c5103-7aa0-4008-bf49-51104c26f889,,mobile,chrome,201.210.151.166,{}
2ffd37da-385e-475e-aaaa-b92c84a7b7e5,e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,db797948-ac3a-4301-a290-f2170fb147db,checkout_start,2025-06-17 07:30:42.606729,,,,mobile,safari,48.130.165.46,{}
d87107ca-f265-4200-80d0-c5f3c09f168c,e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,db797948-ac3a-4301-a290-f2170fb147db,purchase,2025-06-17 07:21:42.606729,,,,desktop,chrome,144.214.189.132,{'amount': 243.49}
f5932da2-44e0-4a2c-a5f9-e9e463c8838d,e8dbda01-20c4-4e68-a0ea-0808e9a3e2c8,db797948-ac3a-4301-a290-f2170fb147db,logout,2025-06-17 07:15:42.606729,,,,desktop,safari,208.232.65.145,{}
2dca662e-b0eb-4200-9eca-5df325ca5012,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,login,2025-06-17 15:31:42.606729,,,,desktop,firefox,105.73.173.159,{}
d6ac60fe-05b7-40f3-a01a-2d47e080b32c,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,page_view,2025-06-17 15:37:42.606729,/products,,,tablet,safari,180.184.84.14,{}
8540a3a1-8868-4d8c-9c97-32e079da0447,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,page_view,2025-06-17 15:36:42.606729,/contact,,,tablet,safari,178.57.105.20,{}
3eae9280-2c2b-41f1-ad7c-e1f057a3fa2a,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,product_view,2025-06-17 15:30:42.606729,/product/7c4c5103-7aa0-4008-bf49-51104c26f889,7c4c5103-7aa0-4008-bf49-51104c26f889,,desktop,safari,171.128.151.103,{}
a058978f-7bcd-43a7-be50-cd2969ad8228,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,product_view,2025-06-17 15:42:42.606729,/product/319b21fe-cf53-406a-b2bf-85e46045d68f,319b21fe-cf53-406a-b2bf-85e46045d68f,,tablet,firefox,141.133.162.71,{}
3f815a08-a280-4ab4-b3ee-114a6d0fe1e9,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,add_to_cart,2025-06-17 15:31:42.606729,/product/f6c25727-42bd-46ef-9393-add082368e08,f6c25727-42bd-46ef-9393-add082368e08,,tablet,safari,59.222.81.113,{}
0d1929d8-dcfb-4dcd-a867-e0172d4b553d,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,checkout_start,2025-06-17 15:41:42.606729,,,,tablet,safari,48.137.36.35,{}
b14d1681-51d3-4afd-aca4-8e3a6b999336,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,page_view,2025-06-17 15:31:42.606729,/contact,,,mobile,edge,201.149.244.221,{}
eab12777-cab7-4a5b-81bc-c15bbf035156,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,product_view,2025-06-17 15:38:42.606729,/product/2f06d9e7-9270-4d03-bbde-03bcc7a71e64,2f06d9e7-9270-4d03-bbde-03bcc7a71e64,,mobile,safari,123.85.80.80,{}
71951c0b-af71-4d4d-9a0e-0427cf9bb7dd,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,add_to_cart,2025-06-17 15:40:42.606729,/product/cce386ae-c28f-4012-a834-d810c2178206,cce386ae-c28f-4012-a834-d810c2178206,,mobile,edge,215.216.32.23,{}
0d20c885-c5a4-4c24-afef-f86067510f5f,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,checkout_start,2025-06-17 15:40:42.606729,,,,desktop,firefox,220.20.65.202,{}
29a3d838-3325-4043-9009-6c082224ead7,566cf720-8791-4b44-837a-187d0b5ea884,3898c49f-fb58-4618-81fc-f36d60946b8d,logout,2025-06-17 15:30:42.606729,,,,tablet,edge,65.67.32.150,{}
20655c9f-511a-43fb-bed2-e60d9e620b17,c7237237-0f18-4af8-8d15-3b29343c42c8,2ccca875-a29a-439b-8989-561226e391f5,login,2025-06-17 03:57:42.606729,,,,desktop,firefox,125.140.150.104,{}
7e5e6cb2-3a1f-4c70-8060-5f1de6105c85,c7237237-0f18-4af8-8d15-3b29343c42c8,2ccca875-a29a-439b-8989-561226e391f5,search,2025-06-17 04:00:42.606729,,,headphones,tablet,edge,170.108.23.6,{'results_count': 59}
28195063-8d8f-4b6c-bced-239012e4f215,c7237237-0f18-4af8-8d15-3b29343c42c8,2ccca875-a29a-439b-8989-561226e391f5,page_view,2025-06-17 04:03:42.606729,/about,,,mobile,firefox,12.146.28.32,{}
fc1e83ce-944d-4cf7-82c3-f0ca4282d328,c7237237-0f18-4af8-8d15-3b29343c42c8,2ccca875-a29a-439b-8989-561226e391f5,product_view,2025-06-17 04:05:42.606729,/product/7a4a6afe-25f5-4679-be42-0de9175ad7e6,7a4a6afe-25f5-4679-be42-0de9175ad7e6,,tablet,chrome,119.19.134.28,{}
095aa4ff-f9be-4695-87c5-d44f70156385,c7237237-0f18-4af8-8d15-3b29343c42c8,2ccca875-a29a-439b-8989-561226e391f5,product_view,2025-06-17 04:02:42.606729,/product/f6c25727-42bd-46ef-9393-add082368e08,f6c25727-42bd-46ef-9393-add082368e08,,tablet,edge,16.45.241.38,{}
49f534a9-338b-460a-904c-bdec87e84697,c7237237-0f18-4af8-8d15-3b29343c42c8,2ccca875-a29a-439b-8989-561226e391f5,product_view,2025-06-17 04:06:42.606729,/product/c708e485-dfe3-42f5-b615-267b7c72b81b,c708e485-dfe3-42f5-b615-267b7c72b81b,,desktop,firefox,21.58.175.205,{}
535d9ebe-5d68-4167-8158-f3be635c0e1f,c7237237-0f18-4af8-8d15-3b29343c42c8,2ccca875-a29a-439b-8989-561226e391f5,logout,2025-06-17 04:04:42.606729,,,,desktop,firefox,123.251.142.161,{}
