Timestamp,Pod,Memory_Mi,Memory_Limit_Mi,CPU_m,Memory_Percent
1759332866,kafka-0,447,682,24,65
1759332866,kafka-1,437,682,20,64
1759332866,kafka-2,424,682,34,62
1759332866,kafka-connect-5487669d97-jc87c,706,1024,47,68
1759332866,postgresql-0,378,512,8,73
1759332866,schema-registry-7996d6869-2bhff,442,512,16,86
1759332876,kafka-0,447,682,22,65
1759332876,kafka-1,440,682,26,64
1759332876,kafka-2,426,682,31,62
1759332876,kafka-connect-5487669d97-jc87c,706,1024,49,68
1759332876,postgresql-0,378,512,10,73
1759332876,schema-registry-7996d6869-2bhff,285,512,13,55
1759332886,kafka-0,447,682,22,65
1759332886,kafka-1,440,682,26,64
1759332886,kafka-2,426,682,31,62
1759332886,kafka-connect-5487669d97-jc87c,706,1024,49,68
1759332886,postgresql-0,378,512,10,73
1759332886,schema-registry-7996d6869-2bhff,285,512,13,55
1759332896,kafka-0,447,682,20,65
1759332896,kafka-1,440,682,20,64
1759332896,kafka-2,426,682,25,62
1759332896,kafka-connect-5487669d97-jc87c,706,1024,47,68
1759332896,postgresql-0,378,512,9,73
1759332896,schema-registry-7996d6869-2bhff,287,512,10,56
1759332907,kafka-0,447,682,23,65
1759332907,kafka-1,440,682,23,64
1759332907,kafka-2,427,682,41,62
1759332907,kafka-connect-5487669d97-jc87c,706,1024,47,68
1759332907,postgresql-0,378,512,9,73
1759332907,schema-registry-7996d6869-2bhff,287,512,8,56
1759332917,kafka-0,447,682,23,65
1759332917,kafka-1,440,682,23,64
1759332917,kafka-2,427,682,41,62
1759332917,kafka-connect-5487669d97-jc87c,706,1024,47,68
1759332917,postgresql-0,378,512,9,73
1759332917,schema-registry-7996d6869-2bhff,287,512,8,56
1759332927,kafka-0,450,682,33,65
1759332927,kafka-1,440,682,21,64
1759332927,kafka-2,427,682,29,62
1759332927,kafka-connect-5487669d97-jc87c,707,1024,55,69
1759332927,postgresql-0,378,512,9,73
1759332927,schema-registry-7996d6869-2bhff,287,512,10,56
1759332937,kafka-0,450,682,21,65
1759332937,kafka-1,440,682,21,64
1759332937,kafka-2,431,682,35,63
1759332937,kafka-connect-5487669d97-jc87c,707,1024,45,69
1759332937,postgresql-0,378,512,9,73
1759332937,schema-registry-7996d6869-2bhff,287,512,7,56
1759332947,kafka-0,450,682,21,65
1759332947,kafka-1,440,682,21,64
1759332947,kafka-2,431,682,35,63
1759332947,kafka-connect-5487669d97-jc87c,707,1024,45,69
1759332947,postgresql-0,378,512,9,73
1759332947,schema-registry-7996d6869-2bhff,287,512,7,56
1759332957,kafka-0,450,682,23,65
1759332957,kafka-1,441,682,22,64
1759332957,kafka-2,431,682,26,63
1759332957,kafka-connect-5487669d97-jc87c,707,1024,47,69
1759332957,postgresql-0,378,512,11,73
1759332957,schema-registry-7996d6869-2bhff,288,512,11,56
1759332967,kafka-0,452,682,25,66
1759332967,kafka-1,442,682,27,64
1759332967,kafka-2,433,682,26,63
1759332967,kafka-connect-5487669d97-jc87c,707,1024,47,69
1759332967,postgresql-0,378,512,9,73
1759332967,schema-registry-7996d6869-2bhff,288,512,10,56
1759332977,kafka-0,452,682,25,66
1759332977,kafka-1,442,682,27,64
1759332977,kafka-2,433,682,26,63
1759332977,kafka-connect-5487669d97-jc87c,707,1024,47,69
1759332977,postgresql-0,378,512,9,73
1759332977,schema-registry-7996d6869-2bhff,288,512,10,56
1759332987,kafka-0,452,682,19,66
1759332987,kafka-1,443,682,22,64
1759332987,kafka-2,434,682,32,63
1759332987,kafka-connect-5487669d97-jc87c,707,1024,43,69
1759332987,postgresql-0,378,512,6,73
