Timestamp,Pod,Memory_Mi,Memory_Limit_Mi,CPU_m,Memory_Percent
1759864227,kafka-0,552,682,21,80
1759864227,kafka-1,593,682,20,86
1759864227,kafka-2,581,682,24,85
1759864227,kafka-connect-6697c8dd97-msk84,1812,2048,31,88
1759864227,postgresql-0,682,1024,9,66
1759864227,schema-registry-696f9b74b5-vq76n,298,1024,17,29
1759864238,kafka-0,552,682,21,80
1759864238,kafka-1,593,682,20,86
1759864238,kafka-2,581,682,24,85
1759864238,kafka-connect-6697c8dd97-msk84,1812,2048,31,88
1759864238,postgresql-0,682,1024,9,66
1759864238,schema-registry-696f9b74b5-vq76n,298,1024,17,29
1759864248,kafka-0,552,682,22,80
1759864248,kafka-1,593,682,21,86
1759864248,kafka-2,581,682,24,85
1759864248,kafka-connect-6697c8dd97-msk84,1818,2048,29,88
1759864248,postgresql-0,682,1024,8,66
1759864248,schema-registry-696f9b74b5-vq76n,298,1024,6,29
1759864258,kafka-0,552,682,22,80
1759864258,kafka-1,592,682,19,86
1759864258,kafka-2,581,682,28,85
1759864258,kafka-connect-6697c8dd97-msk84,1818,2048,28,88
1759864258,postgresql-0,682,1024,10,66
1759864258,schema-registry-696f9b74b5-vq76n,298,1024,8,29
1759864269,kafka-0,552,682,22,80
1759864269,kafka-1,592,682,19,86
1759864269,kafka-2,581,682,28,85
1759864269,kafka-connect-6697c8dd97-msk84,1818,2048,28,88
1759864269,postgresql-0,682,1024,10,66
1759864269,schema-registry-696f9b74b5-vq76n,298,1024,8,29
1759864279,kafka-0,552,682,19,80
1759864279,kafka-1,592,682,21,86
1759864279,kafka-2,581,682,23,85
1759864279,kafka-connect-6697c8dd97-msk84,1818,2048,28,88
1759864279,postgresql-0,682,1024,11,66
1759864279,schema-registry-696f9b74b5-vq76n,298,1024,7,29
1759864290,kafka-0,552,682,20,80
1759864290,kafka-1,592,682,20,86
1759864290,kafka-2,581,682,24,85
1759864290,kafka-connect-6697c8dd97-msk84,1812,2048,30,88
1759864290,postgresql-0,682,1024,8,66
1759864290,schema-registry-696f9b74b5-vq76n,298,1024,8,29
1759864300,kafka-0,552,682,20,80
1759864300,kafka-1,592,682,20,86
1759864300,kafka-2,581,682,24,85
1759864300,kafka-connect-6697c8dd97-msk84,1812,2048,30,88
1759864300,postgresql-0,682,1024,8,66
1759864300,schema-registry-696f9b74b5-vq76n,298,1024,8,29
1759864310,kafka-0,552,682,21,80
1759864310,kafka-1,592,682,18,86
1759864310,kafka-2,581,682,24,85
1759864310,kafka-connect-6697c8dd97-msk84,1812,2048,28,88
1759864310,postgresql-0,682,1024,10,66
