Timestamp,Pod,Memory_Mi,Memory_Limit_Mi,CPU_m,Memory_Percent
1756512075,kafka-0,429,682,22,62
1756512075,kafka-1,425,682,20,62
1756512075,kafka-2,446,682,27,65
1756512075,kafka-connect-5487669d97-cm496,765,1024,48,74
1756512075,postgresql-0,371,512,11,72
1756512075,schema-registry-7996d6869-s6jb5,432,512,49,84
1756512085,kafka-0,429,682,22,62
1756512085,kafka-1,425,682,20,62
1756512085,kafka-2,446,682,20,65
1756512085,kafka-connect-5487669d97-cm496,765,1024,41,74
1756512085,postgresql-0,371,512,11,72
1756512085,schema-registry-7996d6869-s6jb5,234,512,15,45
1756512096,kafka-0,432,682,25,63
1756512096,kafka-1,425,682,18,62
1756512096,kafka-2,446,682,20,65
1756512096,kafka-connect-5487669d97-cm496,765,1024,44,74
1756512096,postgresql-0,371,512,9,72
1756512096,schema-registry-7996d6869-s6jb5,235,512,9,45
1756512106,kafka-0,432,682,25,63
1756512106,kafka-1,425,682,18,62
1756512106,kafka-2,446,682,20,65
1756512106,kafka-connect-5487669d97-cm496,765,1024,44,74
1756512106,postgresql-0,371,512,9,72
1756512106,schema-registry-7996d6869-s6jb5,235,512,9,45
1756512116,kafka-0,432,682,21,63
1756512116,kafka-1,428,682,25,62
1756512116,kafka-2,446,682,20,65
1756512116,kafka-connect-5487669d97-cm496,765,1024,42,74
1756512116,postgresql-0,371,512,11,72
1756512116,schema-registry-7996d6869-s6jb5,235,512,8,45
1756512127,kafka-0,432,682,25,63
1756512127,kafka-1,428,682,19,62
1756512127,kafka-2,450,682,24,65
1756512127,kafka-connect-5487669d97-cm496,765,1024,44,74
1756512127,postgresql-0,371,512,8,72
1756512127,schema-registry-7996d6869-s6jb5,235,512,8,45
1756512137,kafka-0,432,682,25,63
1756512137,kafka-1,428,682,19,62
1756512137,kafka-2,450,682,24,65
1756512137,kafka-connect-5487669d97-cm496,765,1024,44,74
1756512137,postgresql-0,371,512,8,72
1756512137,schema-registry-7996d6869-s6jb5,235,512,8,45
1756512147,kafka-0,432,682,24,63
1756512147,kafka-1,428,682,19,62
1756512147,kafka-2,450,682,25,65
1756512147,kafka-connect-5487669d97-cm496,765,1024,42,74
1756512147,postgresql-0,371,512,9,72
1756512147,schema-registry-7996d6869-s6jb5,235,512,10,45
1756512158,kafka-0,433,682,27,63
1756512158,kafka-1,428,682,19,62
1756512158,kafka-2,450,682,24,65
1756512158,kafka-connect-5487669d97-cm496,765,1024,43,74
1756512158,postgresql-0,371,512,11,72
1756512158,schema-registry-7996d6869-s6jb5,235,512,13,45
1756512168,kafka-0,433,682,27,63
1756512168,kafka-1,428,682,19,62
1756512168,kafka-2,450,682,24,65
1756512168,kafka-connect-5487669d97-cm496,765,1024,43,74
1756512168,postgresql-0,371,512,11,72
1756512168,schema-registry-7996d6869-s6jb5,235,512,13,45
1756512178,kafka-0,435,682,22,63
1756512178,kafka-1,432,682,20,63
1756512178,kafka-2,450,682,24,65
1756512178,kafka-connect-5487669d97-cm496,765,1024,43,74
1756512178,postgresql-0,371,512,11,72
1756512178,schema-registry-7996d6869-s6jb5,235,512,7,45
1756512189,kafka-0,435,682,20,63
1756512189,kafka-1,433,682,24,63
1756512189,kafka-2,452,682,24,66
1756512189,kafka-connect-5487669d97-cm496,765,1024,42,74
1756512189,postgresql-0,372,512,9,72
1756512189,schema-registry-7996d6869-s6jb5,235,512,11,45
1756512199,kafka-0,435,682,25,63
1756512199,kafka-1,433,682,24,63
1756512199,kafka-2,452,682,19,66
1756512199,kafka-connect-5487669d97-cm496,765,1024,51,74
1756512199,postgresql-0,372,512,13,72
1756512199,schema-registry-7996d6869-s6jb5,235,512,6,45
1756512209,kafka-0,435,682,25,63
1756512209,kafka-1,433,682,24,63
1756512209,kafka-2,452,682,19,66
1756512209,kafka-connect-5487669d97-cm496,765,1024,51,74
1756512209,postgresql-0,372,512,13,72
1756512209,schema-registry-7996d6869-s6jb5,235,512,6,45
1756512220,kafka-0,435,682,24,63
1756512220,kafka-1,433,682,21,63
1756512220,kafka-2,452,682,20,66
1756512220,kafka-connect-5487669d97-cm496,765,1024,44,74
1756512220,postgresql-0,372,512,14,72
1756512220,schema-registry-7996d6869-s6jb5,235,512,12,45
1756512230,kafka-0,435,682,25,63
1756512230,kafka-1,433,682,23,63
1756512230,kafka-2,452,682,20,66
1756512230,kafka-connect-5487669d97-cm496,766,1024,44,74
1756512230,postgresql-0,372,512,15,72
1756512230,schema-registry-7996d6869-s6jb5,235,512,8,45
1756512240,kafka-0,435,682,25,63
1756512240,kafka-1,433,682,23,63
1756512240,kafka-2,452,682,20,66
1756512240,kafka-connect-5487669d97-cm496,766,1024,44,74
1756512240,postgresql-0,372,512,15,72
1756512240,schema-registry-7996d6869-s6jb5,235,512,8,45
1756512251,kafka-0,437,682,22,64
1756512251,kafka-1,433,682,18,63
1756512251,kafka-2,452,682,21,66
1756512251,kafka-connect-5487669d97-cm496,765,1024,42,74
1756512251,postgresql-0,372,512,14,72
1756512251,schema-registry-7996d6869-s6jb5,235,512,9,45
1756512261,kafka-0,437,682,25,64
1756512261,kafka-1,433,682,19,63
1756512261,kafka-2,452,682,19,66
1756512261,kafka-connect-5487669d97-cm496,765,1024,44,74
1756512261,postgresql-0,372,512,13,72
1756512261,schema-registry-7996d6869-s6jb5,235,512,7,45
1756512272,kafka-0,437,682,25,64
1756512272,kafka-1,433,682,19,63
1756512272,kafka-2,452,682,19,66
1756512272,kafka-connect-5487669d97-cm496,765,1024,44,74
1756512272,postgresql-0,372,512,13,72
1756512272,schema-registry-7996d6869-s6jb5,235,512,7,45
1756512282,kafka-0,437,682,22,64
1756512282,kafka-1,433,682,18,63
1756512282,kafka-2,452,682,19,66
1756512282,kafka-connect-5487669d97-cm496,765,1024,43,74
1756512282,postgresql-0,372,512,16,72
1756512282,schema-registry-7996d6869-s6jb5,235,512,12,45
1756512293,kafka-0,437,682,20,64
1756512293,kafka-1,435,682,21,63
1756512293,kafka-2,453,682,25,66
1756512293,kafka-connect-5487669d97-cm496,766,1024,44,74
1756512293,postgresql-0,372,512,13,72
1756512293,schema-registry-7996d6869-s6jb5,235,512,7,45
1756512303,kafka-0,437,682,20,64
1756512303,kafka-1,435,682,21,63
1756512303,kafka-2,453,682,25,66
1756512303,kafka-connect-5487669d97-cm496,766,1024,44,74
1756512303,postgresql-0,372,512,13,72
1756512303,schema-registry-7996d6869-s6jb5,235,512,7,45
1756512314,kafka-0,437,682,27,64
1756512314,kafka-1,435,682,18,63
1756512314,kafka-2,453,682,20,66
1756512314,kafka-connect-5487669d97-cm496,766,1024,41,74
1756512314,postgresql-0,372,512,13,72
1756512314,schema-registry-7996d6869-s6jb5,235,512,10,45
